sent,identifier,headline,param_awareness_level,param_awareness_type,standardized_type,weather_pattern,headline_category
2021-08-05 15:48:16+00:00,2.49.0.1.372.0.210805154816.829473, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 10:21:33+00:00,2.49.0.1.372.0.210806102133.118968, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 10:58:01+00:00,2.49.0.1.372.0.210806105801.234895, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 11:09:56+00:00,2.49.0.1.372.0.210806110956.374026, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 13:39:31+00:00,2.49.0.1.372.0.210806133931.093287, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 16:29:17+00:00,2.49.0.1.372.0.210806162917.255629, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 18:39:17+00:00,2.49.0.1.372.0.210806183917.675322, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 18:52:27+00:00,2.49.0.1.372.0.210806185227.192564, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 18:56:09+00:00,2.49.0.1.372.0.210806185609.319652, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 18:58:18+00:00,2.49.0.1.372.0.210806185818.707172, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-06 19:02:35+00:00,2.49.0.1.372.0.210806190235.144283, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-07 04:25:14+00:00,2.49.0.1.372.0.210807042514.733654, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
2021-08-07 09:32:52+00:00,2.49.0.1.372.0.210807093252.228665, warning for ,2; yellow; Moderate,,nan,No weather pattern found,Invalid Event (Warning for only)
