event_key,Issue Time,issue_count,first_issue,last_issue,Valid From,Valid To,warning_type,warning_text,location,warning_colour
"2021-10-28 06:25:45+00:00_2021-10-28 11:00:00+00:00_Yellow Rain_Yellow_Carlow, Kildare, Kilkenny, Cork",2021-10-28 06:25:45+00:00,1,2021-10-28 06:25:45+00:00,2021-10-28 06:25:45+00:00,2021-10-28 06:25:45+00:00,2021-10-28 11:00:00+00:00,Yellow Rain,"Following recent heavy rain, there will be additional rainfall accumulations this morning, with flooding in places.","Carlow, Kildare, Kilkenny, Cork",Yellow
"2021-10-28 10:53:28+00:00_2021-10-28 11:00:00+00:00_Orange Rain_Orange_Waterford, Wexford, Wicklow",2021-10-28 10:53:28+00:00,1,2021-10-28 10:53:28+00:00,2021-10-28 10:53:28+00:00,2021-10-28 10:53:28+00:00,2021-10-28 11:00:00+00:00,Orange Rain,"Following significant accumulations of rainfall, there will be additional accumulations this morning, with flooding in places.","Waterford, Wexford, Wicklow",Orange
"2021-10-28 10:53:28+00:00_2021-10-28 11:00:00+00:00_Yellow Rain_Yellow_Carlow, Kildare, Kilkenny, Cork",2021-10-28 10:53:28+00:00,1,2021-10-28 10:53:28+00:00,2021-10-28 10:53:28+00:00,2021-10-28 10:53:28+00:00,2021-10-28 11:00:00+00:00,Yellow Rain,"Following recent heavy rain, there will be additional rainfall accumulations this morning, with flooding in places.","Carlow, Kildare, Kilkenny, Cork",Yellow
"2021-10-30 09:32:50+00:00_2021-10-31 02:00:00+00:00_Yellow Thunderstorm_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 09:32:50+00:00,1,2021-10-30 09:32:50+00:00,2021-10-30 09:32:50+00:00,2021-10-30 09:32:50+00:00,2021-10-31 02:00:00+00:00,Yellow Thunderstorm,Thundery outbreaks of rain with possible lightning and localised flooding. ,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 09:55:34+00:00_2021-10-31 02:00:00+00:00_Yellow Thunderstorm_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 09:55:34+00:00,1,2021-10-30 09:55:34+00:00,2021-10-30 09:55:34+00:00,2021-10-30 09:55:34+00:00,2021-10-31 02:00:00+00:00,Yellow Thunderstorm,Thundery outbreaks of rain with possible lightning and localised flooding. ,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 09:55:34+00:00_2021-10-31 04:30:00+00:00_Yellow Thunderstorm_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 09:55:34+00:00,1,2021-10-30 09:55:34+00:00,2021-10-30 09:55:34+00:00,2021-10-30 09:55:34+00:00,2021-10-31 04:30:00+00:00,Yellow Thunderstorm,Thundery outbreaks of rain with possible lightning and localised flooding. ,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 09:58:09+00:00_2021-10-31 02:00:00+00:00_Yellow Thunderstorm_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 09:58:09+00:00,1,2021-10-30 09:58:09+00:00,2021-10-30 09:58:09+00:00,2021-10-30 09:58:09+00:00,2021-10-31 02:00:00+00:00,Yellow Thunderstorm,Thundery outbreaks of rain with possible lightning and localised flooding. ,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 09:58:09+00:00_2021-10-31 05:00:00+00:00_Yellow Thunderstorm_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 09:58:09+00:00,1,2021-10-30 09:58:09+00:00,2021-10-30 09:58:09+00:00,2021-10-30 09:58:09+00:00,2021-10-31 05:00:00+00:00,Yellow Thunderstorm,Thundery outbreaks of rain with possible lightning and localised flooding. ,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 14:25:57+00:00_2021-10-31 02:00:00+00:00_Yellow Thunderstorm_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 14:25:57+00:00,1,2021-10-30 14:25:57+00:00,2021-10-30 14:25:57+00:00,2021-10-30 14:25:57+00:00,2021-10-31 02:00:00+00:00,Yellow Thunderstorm,Thundery outbreaks of rain with possible lightning and localised flooding. ,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 14:25:57+00:00_2021-10-31 05:00:00+00:00_Yellow Thunderstorm_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 14:25:57+00:00,1,2021-10-30 14:25:57+00:00,2021-10-30 14:25:57+00:00,2021-10-30 14:25:57+00:00,2021-10-31 05:00:00+00:00,Yellow Thunderstorm,Thundery outbreaks of rain with possible lightning and localised flooding. ,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 14:25:57+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 14:25:57+00:00,1,2021-10-30 14:25:57+00:00,2021-10-30 14:25:57+00:00,2021-10-30 14:25:57+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 14:25:57+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 14:25:57+00:00,1,2021-10-30 14:25:57+00:00,2021-10-30 14:25:57+00:00,2021-10-30 14:25:57+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 15:07:27+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 15:07:27+00:00,1,2021-10-30 15:07:27+00:00,2021-10-30 15:07:27+00:00,2021-10-30 15:07:27+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 15:07:27+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan",2021-10-30 15:07:27+00:00,1,2021-10-30 15:07:27+00:00,2021-10-30 15:07:27+00:00,2021-10-30 15:07:27+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan",Yellow
"2021-10-30 15:07:27+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 15:07:27+00:00,1,2021-10-30 15:07:27+00:00,2021-10-30 15:07:27+00:00,2021-10-30 15:07:27+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 15:07:27+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 15:07:27+00:00,1,2021-10-30 15:07:27+00:00,2021-10-30 15:07:27+00:00,2021-10-30 15:07:27+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 15:19:47+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 15:19:47+00:00,1,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 15:19:47+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan",2021-10-30 15:19:47+00:00,1,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan",Yellow
2021-10-30 15:19:47+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leitrim,2021-10-30 15:19:47+00:00,1,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Yellow Rain,Leitrim,Yellow
"2021-10-30 15:19:47+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 15:19:47+00:00,1,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 15:19:47+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 15:19:47+00:00,1,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-30 15:19:47+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 15:22:51+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 15:22:51+00:00,1,2021-10-30 15:22:51+00:00,2021-10-30 15:22:51+00:00,2021-10-30 15:22:51+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 15:22:51+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 15:22:51+00:00,1,2021-10-30 15:22:51+00:00,2021-10-30 15:22:51+00:00,2021-10-30 15:22:51+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 15:22:51+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 15:22:51+00:00,1,2021-10-30 15:22:51+00:00,2021-10-30 15:22:51+00:00,2021-10-30 15:22:51+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 15:22:51+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 15:22:51+00:00,1,2021-10-30 15:22:51+00:00,2021-10-30 15:22:51+00:00,2021-10-30 15:22:51+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 17:40:21+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 17:40:21+00:00,1,2021-10-30 17:40:21+00:00,2021-10-30 17:40:21+00:00,2021-10-30 17:40:21+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 17:40:21+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 17:40:21+00:00,1,2021-10-30 17:40:21+00:00,2021-10-30 17:40:21+00:00,2021-10-30 17:40:21+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 17:40:21+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 17:40:21+00:00,1,2021-10-30 17:40:21+00:00,2021-10-30 17:40:21+00:00,2021-10-30 17:40:21+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 17:40:21+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 17:40:21+00:00,1,2021-10-30 17:40:21+00:00,2021-10-30 17:40:21+00:00,2021-10-30 17:40:21+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 17:42:59+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 17:42:59+00:00,1,2021-10-30 17:42:59+00:00,2021-10-30 17:42:59+00:00,2021-10-30 17:42:59+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 17:42:59+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 17:42:59+00:00,1,2021-10-30 17:42:59+00:00,2021-10-30 17:42:59+00:00,2021-10-30 17:42:59+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 17:42:59+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 17:42:59+00:00,1,2021-10-30 17:42:59+00:00,2021-10-30 17:42:59+00:00,2021-10-30 17:42:59+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 17:42:59+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 17:42:59+00:00,1,2021-10-30 17:42:59+00:00,2021-10-30 17:42:59+00:00,2021-10-30 17:42:59+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 18:42:41+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 18:42:41+00:00,1,2021-10-30 18:42:41+00:00,2021-10-30 18:42:41+00:00,2021-10-30 18:42:41+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 18:42:41+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 18:42:41+00:00,1,2021-10-30 18:42:41+00:00,2021-10-30 18:42:41+00:00,2021-10-30 18:42:41+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 18:42:41+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 18:42:41+00:00,1,2021-10-30 18:42:41+00:00,2021-10-30 18:42:41+00:00,2021-10-30 18:42:41+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 18:42:41+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 18:42:41+00:00,1,2021-10-30 18:42:41+00:00,2021-10-30 18:42:41+00:00,2021-10-30 18:42:41+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 18:44:23+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 18:44:23+00:00,1,2021-10-30 18:44:23+00:00,2021-10-30 18:44:23+00:00,2021-10-30 18:44:23+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 18:44:23+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 18:44:23+00:00,1,2021-10-30 18:44:23+00:00,2021-10-30 18:44:23+00:00,2021-10-30 18:44:23+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 18:44:23+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 18:44:23+00:00,1,2021-10-30 18:44:23+00:00,2021-10-30 18:44:23+00:00,2021-10-30 18:44:23+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 18:44:23+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 18:44:23+00:00,1,2021-10-30 18:44:23+00:00,2021-10-30 18:44:23+00:00,2021-10-30 18:44:23+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 18:46:17+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 18:46:17+00:00,1,2021-10-30 18:46:17+00:00,2021-10-30 18:46:17+00:00,2021-10-30 18:46:17+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 18:46:17+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 18:46:17+00:00,1,2021-10-30 18:46:17+00:00,2021-10-30 18:46:17+00:00,2021-10-30 18:46:17+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 18:46:17+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 18:46:17+00:00,1,2021-10-30 18:46:17+00:00,2021-10-30 18:46:17+00:00,2021-10-30 18:46:17+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 18:46:17+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 18:46:17+00:00,1,2021-10-30 18:46:17+00:00,2021-10-30 18:46:17+00:00,2021-10-30 18:46:17+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 18:47:39+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 18:47:39+00:00,1,2021-10-30 18:47:39+00:00,2021-10-30 18:47:39+00:00,2021-10-30 18:47:39+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 18:47:39+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 18:47:39+00:00,1,2021-10-30 18:47:39+00:00,2021-10-30 18:47:39+00:00,2021-10-30 18:47:39+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 18:47:39+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 18:47:39+00:00,1,2021-10-30 18:47:39+00:00,2021-10-30 18:47:39+00:00,2021-10-30 18:47:39+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 18:47:39+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 18:47:39+00:00,1,2021-10-30 18:47:39+00:00,2021-10-30 18:47:39+00:00,2021-10-30 18:47:39+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-30 20:34:31+00:00_2021-10-31 02:00:00+00:00_Yellow Rain_Yellow_Munster, Galway, Mayo, Roscommon, Sligo",2021-10-30 20:34:31+00:00,1,2021-10-30 20:34:31+00:00,2021-10-30 20:34:31+00:00,2021-10-30 20:34:31+00:00,2021-10-31 02:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Munster, Galway, Mayo, Roscommon, Sligo",Yellow
"2021-10-30 20:34:31+00:00_2021-10-31 05:00:00+00:00_Yellow Rain_Yellow_Leinster, Cavan, Donegal, Monaghan, Leitrim",2021-10-30 20:34:31+00:00,1,2021-10-30 20:34:31+00:00,2021-10-30 20:34:31+00:00,2021-10-30 20:34:31+00:00,2021-10-31 05:00:00+00:00,Yellow Rain,Heavy rain with a risk of thunderstorms,"Leinster, Cavan, Donegal, Monaghan, Leitrim",Yellow
"2021-10-30 20:34:31+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-30 20:34:31+00:00,1,2021-10-30 20:34:31+00:00,2021-10-30 20:34:31+00:00,2021-10-30 20:34:31+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-30 20:34:31+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-30 20:34:31+00:00,1,2021-10-30 20:34:31+00:00,2021-10-30 20:34:31+00:00,2021-10-30 20:34:31+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
"2021-10-31 05:20:35+00:00_2021-10-31 12:00:00+00:00_Yellow Wind_Yellow_Clare, Cork, Kerry",2021-10-31 05:20:35+00:00,1,2021-10-31 05:20:35+00:00,2021-10-31 05:20:35+00:00,2021-10-31 05:20:35+00:00,2021-10-31 12:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up to 65km/hr with gusts up to 100km/hr,"Clare, Cork, Kerry",Yellow
"2021-10-31 05:20:35+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Clare, Galway",2021-10-31 05:20:35+00:00,1,2021-10-31 05:20:35+00:00,2021-10-31 05:20:35+00:00,2021-10-31 05:20:35+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds up to 65km/hr with gusts up to 100km/hr,"Clare, Galway",Yellow
2021-10-31 08:49:29+00:00_2021-10-31 14:00:00+00:00_Yellow Wind_Yellow_Munster,2021-10-31 08:49:29+00:00,1,2021-10-31 08:49:29+00:00,2021-10-31 08:49:29+00:00,2021-10-31 08:49:29+00:00,2021-10-31 14:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,Munster,Yellow
"2021-10-31 08:49:29+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Galway, Mayo",2021-10-31 08:49:29+00:00,1,2021-10-31 08:49:29+00:00,2021-10-31 08:49:29+00:00,2021-10-31 08:49:29+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,"Galway, Mayo",Yellow
2021-10-31 09:06:45+00:00_2021-10-31 14:00:00+00:00_Yellow Wind_Yellow_Munster,2021-10-31 09:06:45+00:00,1,2021-10-31 09:06:45+00:00,2021-10-31 09:06:45+00:00,2021-10-31 09:06:45+00:00,2021-10-31 14:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,Munster,Yellow
"2021-10-31 09:06:45+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Galway, Mayo",2021-10-31 09:06:45+00:00,1,2021-10-31 09:06:45+00:00,2021-10-31 09:06:45+00:00,2021-10-31 09:06:45+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,"Galway, Mayo",Yellow
2021-10-31 09:08:36+00:00_2021-10-31 14:00:00+00:00_Yellow Wind_Yellow_Munster,2021-10-31 09:08:36+00:00,1,2021-10-31 09:08:36+00:00,2021-10-31 09:08:36+00:00,2021-10-31 09:08:36+00:00,2021-10-31 14:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,Munster,Yellow
"2021-10-31 09:08:36+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Galway, Mayo",2021-10-31 09:08:36+00:00,1,2021-10-31 09:08:36+00:00,2021-10-31 09:08:36+00:00,2021-10-31 09:08:36+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,"Galway, Mayo",Yellow
2021-10-31 09:18:04+00:00_2021-10-31 14:00:00+00:00_Yellow Wind_Yellow_Munster,2021-10-31 09:18:04+00:00,1,2021-10-31 09:18:04+00:00,2021-10-31 09:18:04+00:00,2021-10-31 09:18:04+00:00,2021-10-31 14:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,Munster,Yellow
"2021-10-31 09:18:04+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Galway, Mayo",2021-10-31 09:18:04+00:00,1,2021-10-31 09:18:04+00:00,2021-10-31 09:18:04+00:00,2021-10-31 09:18:04+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,"Galway, Mayo",Yellow
2021-10-31 09:28:32+00:00_2021-10-31 14:00:00+00:00_Yellow Wind_Yellow_Munster,2021-10-31 09:28:32+00:00,1,2021-10-31 09:28:32+00:00,2021-10-31 09:28:32+00:00,2021-10-31 09:28:32+00:00,2021-10-31 14:00:00+00:00,Yellow Wind,West to northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,Munster,Yellow
"2021-10-31 09:28:32+00:00_2021-10-31 22:00:00+00:00_Yellow Wind_Yellow_Galway, Mayo",2021-10-31 09:28:32+00:00,1,2021-10-31 09:28:32+00:00,2021-10-31 09:28:32+00:00,2021-10-31 09:28:32+00:00,2021-10-31 22:00:00+00:00,Yellow Wind,Northwest winds will reach mean speeds of up 65km/hr with gusts of up to 90-110km/hr and higher gusts along coasts and exposed hills.,"Galway, Mayo",Yellow
