id,name,irish_name,county,country,type
18540,Curraghmoreen,Currach Muirín,Waterford,Republic of Ireland,Townland
18541,Curraghmore West,An Currach Mór Thiar,Kerry,Republic of Ireland,Townland
18542,Curraghmulmurry,Currach Mhaolmhuire,Galway,Republic of Ireland,Townland
18543,Curraghnabania,Currach na Báine,Leitrim,Republic of Ireland,Townland
18544,Curraghnabola,Currach na Buaile,Wexford,Republic of Ireland,Townland
18545,Curraghnaboley,,Roscommon,Republic of Ireland,Townland
18546,Curraghnaboll,,Roscommon,Republic of Ireland,Townland
18547,Curraghnaboola,Currach na Buaile,Tipperary,Republic of Ireland,Townland
18548,Curraghnaboul,Currach na bPoll,Limerick,Republic of Ireland,Townland
18549,Curraghnadeely,Currach na Daoile,Limerick,Republic of Ireland,Townland
18550,Curraghnadeige,,Laois,Republic of Ireland,Townland
18551,Curraghnadimpaun,Currach na dTiompán,Kilkenny,Republic of Ireland,Townland
18552,Curraghnagap,,Sligo,Republic of Ireland,Townland
18553,Curraghnagarraha,Currach na nGarraithe,Waterford,Republic of Ireland,Townland
18554,Curraghnagree,Currach na Graí,Waterford,Republic of Ireland,Townland
18555,Curraghnalaght,Currach na Leacht,Cork,Republic of Ireland,Townland
18556,Curraghnaloughra,Currach na Luachra,Cork,Republic of Ireland,Townland
18557,Curraghnamaddree,Currach na Madraí,Waterford,Republic of Ireland,Townland
18558,Curraghnamoe,Currach na mBoth,Tipperary,Republic of Ireland,Townland
18559,Curraghnanav,Currach na nDamh,Kerry,Republic of Ireland,Townland
18560,Curraghnatinny,Currach na Tinne,Tipperary,Republic of Ireland,Townland
18561,Curraghnaveen,,Roscommon,Republic of Ireland,Townland
18562,Curraghnawall,Currach na bhFál,Leitrim,Republic of Ireland,Townland
18563,Curragho,,Cavan,Republic of Ireland,Townland
18564,Curraghoaghry,Currach Eochaire,Leitrim,Republic of Ireland,Townland
18565,Curraghodea,,Clare,Republic of Ireland,Townland
18566,Curraghomongan,,Donegal,Republic of Ireland,Townland
18567,Curraghoo Beg,Corr Thua Bheag,Cork,Republic of Ireland,Townland
18568,Curraghoo More,Corr Thua Mhór,Cork,Republic of Ireland,Townland
18569,Curraghphadeen,Currach Pháidín,Cork,Republic of Ireland,Townland
18570,Curraghphilipeen,Currach Philibín,Waterford,Republic of Ireland,Townland
18571,Curraghphlibbode,Currach Phileabóid,Cork,Republic of Ireland,Townland
18572,Curraghpoor,Currach an Phaoraigh,Tipperary,Republic of Ireland,Townland
18573,Curraghprevin,Currach Phréimhín,Cork,Republic of Ireland,Townland
18574,Curraghreigh North,An Currach Riabhach Thuaidh,Waterford,Republic of Ireland,Townland
18575,Curraghreigh South,An Currach Riabhach Theas,Waterford,Republic of Ireland,Townland
18576,Curraghrevagh,An Currach Riabhach,Galway,Republic of Ireland,Townland
18577,Curraghroche,Currach an Róistigh,Limerick,Republic of Ireland,Townland
18578,Curraghroche,Currach an Róistigh,Waterford,Republic of Ireland,Townland
18579,Curraghroe,An Currach Rua,Galway,Republic of Ireland,Townland
18580,Curraghroe,An Currach Rua,Roscommon,Republic of Ireland,Town/Village
18581,Curraghroodle,,Westmeath,Republic of Ireland,Townland
18582,Curraghrour East,An Currach Ramhar Thoir,Cork,Republic of Ireland,Townland
18583,Curraghrour West,An Currach Ramhar Thiar,Cork,Republic of Ireland,Townland
18584,Curraghs,Na Curraithe,Cork,Republic of Ireland,Townland
18585,Curraghs,An Currach,Galway,Republic of Ireland,Townland
18586,Curraghsallagh,,Roscommon,Republic of Ireland,Townland
18587,Curraghscarteen,Currach Scairtín,Kilkenny,Republic of Ireland,Townland
18588,Curraghscarteen,Currach Scairtín,Tipperary,Republic of Ireland,Townland
18589,Curraghslagh,An Currach Salach,Tipperary,Republic of Ireland,Townland
18590,Curraghs North,Na Corrachaidh Thuaidh,Leitrim,Republic of Ireland,Townland
18591,Curraghs South,Na Corrachaidh Theas,Leitrim,Republic of Ireland,Townland
18592,Curraghtarsna,An Currach Tarsna,Tipperary,Republic of Ireland,Townland
18593,Curraghteemore,Currach an Tí Móir,Cork,Republic of Ireland,Townland
18594,Curraghteemore,,Mayo,Republic of Ireland,Townland
18595,Curraghtemple,Currach an Teampaill,Tipperary,Republic of Ireland,Townland
18596,Curraghtown,,Meath,Republic of Ireland,Townland
18597,Curraghtown,,Meath,Republic of Ireland,Townland
18598,Curraghtown,,Meath,Republic of Ireland,Townland
18599,Curraghtown,,Meath,Republic of Ireland,Townland
18600,Curraghtown,,Meath,Republic of Ireland,Townland
