id,name,irish_name,county,country,type
12951,Clogher West,Cloichear Thiar,Limerick,Republic of Ireland,Townland
12952,Cloghfin,An Chloch Fhionn,Donegal,Republic of Ireland,Townland
12953,Cloghfin,,Donegal,Republic of Ireland,Townland
12954,Cloghfin,An Chloch Fhionn,Monaghan,Republic of Ireland,Townland
12955,Cloghfin,,Sligo,Republic of Ireland,Townland
12956,Cloghfune,An Chloch Fhionn,Cork,Republic of Ireland,Townland
12957,Cloghfune,,Kerry,Republic of Ireland,Townland
12958,Cloghgarrett Glebe,,Kildare,Republic of Ireland,Townland
12959,Cloghglass,An Chloch Ghlas,Donegal,Republic of Ireland,Townland
12960,Cloghgore,,Donegal,Republic of Ireland,Townland
12961,Cloghgriffin,Cloch Ghrífín,Cork,Republic of Ireland,Townland
12962,Cloghilawarreela,Cloch Choill an Bharrthuisle,Limerick,Republic of Ireland,Townland
12963,Cloghinch,Cloch Inse,Tipperary,Republic of Ireland,Townland
12964,Cloghjordan,Cloch Shiurdáin,Tipperary,Republic of Ireland,Town/Village
12965,Cloghjordanpark,Páirc Chloch Shiurdáin,Tipperary,Republic of Ireland,Townland
12966,Cloghkeating,Cloch an Chéitinnigh,Limerick,Republic of Ireland,Townland
12967,Cloghkeating,Cloch Chéitinn,Tipperary,Republic of Ireland,Townland
12968,Cloghlea,An Chloch Liath,Clare,Republic of Ireland,Townland
12969,Cloghlea,An Chloch Liath,Louth,Republic of Ireland,Townland
12970,Cloghleafin,Cloch Liafuine,Cork,Republic of Ireland,Townland
12971,Cloghleagh,An Chloch Liath,Clare,Republic of Ireland,Townland
12972,Cloghleagh,,Kerry,Republic of Ireland,Townland
12973,Cloghleagh,,Wicklow,Republic of Ireland,Townland
12974,Cloghleigh,An Chloch Liath,Tipperary,Republic of Ireland,Townland
12975,Cloghleigh,An Chloch Liath,Tipperary,Republic of Ireland,Townland
12976,Cloghleigh,Na Clocha Liatha,Tipperary,Republic of Ireland,Townland
12977,Cloghlough,Clochlach,Leitrim,Republic of Ireland,Townland
12978,Clogh Lower,,Wicklow,Republic of Ireland,Townland
12979,Cloghlucas North,Cloch Lúcáis Thuaidh,Cork,Republic of Ireland,Townland
12980,Cloghlucas South,Cloch Lúcáis Theas,Cork,Republic of Ireland,Townland
12981,Cloghmackirkeen,,Kerry,Republic of Ireland,Townland
12982,Cloghmacoo,Cloch Mhic Cú,Meath,Republic of Ireland,Townland
12983,Cloghmacow,Cloch Mochua,Cork,Republic of Ireland,Townland
12984,Cloghmacsimon,Cloch Mhic Shíomoin,Cork,Republic of Ireland,Townland
12985,Cloghmartin,Cloch Mháirtín,Tipperary,Republic of Ireland,Townland
12986,Cloghmeen,An Chloch Mhín,Leitrim,Republic of Ireland,Townland
12987,Cloghmine,,Sligo,Republic of Ireland,Townland
12988,Cloghmore,An Chloich Mhóir,Mayo,Republic of Ireland,Townland
12989,Cloghmore North,An Chloich Mhór Thuaidh,Galway,Republic of Ireland,Townland
12990,Cloghmore South,An Chloich Mhór Theas,Galway,Republic of Ireland,Townland
12991,Cloghmoyle,An Chloch Mhaol,Offaly,Republic of Ireland,Townland
12992,Cloghmoyne,Cloch Mhaighne,Mayo,Republic of Ireland,Townland
12993,Cloghna,Cloch an Chnámha,Carlow,Republic of Ireland,Townland
12994,Cloghnadromin,Cloch na Dromann,Limerick,Republic of Ireland,Townland
12995,Cloghnagaune,,Wicklow,Republic of Ireland,Townland
12996,Cloghnakeava,Cloch na Céibhe,Galway,Republic of Ireland,Townland
12997,Cloghnamallaght,,Wexford,Republic of Ireland,Townland
12998,Cloghnamanagh,Cloch na Manach,Limerick,Republic of Ireland,Townland
12999,Cloghnart,Cloch an Fhearta,Monaghan,Republic of Ireland,Townland
13000,Cloghnashade,,Roscommon,Republic of Ireland,Townland
13001,Clogh North,An Chloch Thuaidh,Galway,Republic of Ireland,Townland
13002,Cloghoge,,Cavan,Republic of Ireland,Townland
13003,Cloghoge,An Chlochóg,Kilkenny,Republic of Ireland,Townland
13004,Cloghoge,,Laois,Republic of Ireland,Townland
13005,Cloghoge,Clochóg,Wicklow,Republic of Ireland,Townland
13006,Cloghoge,Clochóg,Wicklow,Republic of Ireland,Townland
13007,Cloghoge And Tievadinna,An Chlochóg agus Taobh an Duine,Monaghan,Republic of Ireland,Townland
13008,Cloghoge Lower,An Chlochóg Íochtarach,Sligo,Republic of Ireland,Townland
13009,Cloghoge Upper,An Chlochóg Uachtarach,Sligo,Republic of Ireland,Townland
13010,Cloghonan,Cloch Fhóthannáin,Tipperary,Republic of Ireland,Townland
13011,Cloghoolia,An Chlochbhuaile,Clare,Republic of Ireland,Townland
13012,Cloghore,Cloich Óir,Donegal,Republic of Ireland,Townland
13013,Cloghphilip,Cloch Philib,Cork,Republic of Ireland,Townland
13014,Cloghpook,Cloch an Phúcaigh,Kilkenny,Republic of Ireland,Townland
13015,Cloghprior,Cloch an Phrióra,Tipperary,Republic of Ireland,Townland
13016,Cloghran,Clochrán,Dublin,Republic of Ireland,Townland
13017,Cloghran,,Dublin,Republic of Ireland,Townland
13018,Cloghraun,An Cloichreán,Waterford,Republic of Ireland,Townland
13019,Cloghreagh,,Meath,Republic of Ireland,Townland
13020,Cloghristick,Cloch Risteog,Carlow,Republic of Ireland,Townland
13021,Cloghroak,Cloch an Chrócaigh,Galway,Republic of Ireland,Townland
13022,Cloghroe,Cloch Reo,Cork,Republic of Ireland,Townland
13023,Cloghroe,An Chloch Rua,Donegal,Republic of Ireland,Townland
13024,Cloghroe,An Chloch Rua,Donegal,Republic of Ireland,Townland
13025,Cloghscoltia,An Chloch Scoilte,Galway,Republic of Ireland,Townland
13026,Cloghscregg,Cloch Screige,Kilkenny,Republic of Ireland,Townland
13027,Clogh South,An Chloch Theas,Galway,Republic of Ireland,Townland
13028,Cloghstuckagh,,Cavan,Republic of Ireland,Townland
13029,Cloghulatagh,,Wexford,Republic of Ireland,Townland
13030,Clogh Upper,,Wicklow,Republic of Ireland,Townland
13031,Cloghvally Lower,An Chlochbhuaile Íochtarach,Monaghan,Republic of Ireland,Townland
13032,Cloghvally Upper,An Chlochbhuaile Uachtarach,Monaghan,Republic of Ireland,Townland
13033,Cloghvoley,An Chlochbhuaile,Galway,Republic of Ireland,Townland
13034,Cloghvoley,,Mayo,Republic of Ireland,Townland
13035,Cloghvoola,Clochbhuaile,Kerry,Republic of Ireland,Townland
13036,Cloghvoolia North,An Chlochbhuaile Thuaidh,Cork,Republic of Ireland,Townland
13037,Cloghvoolia South,An Chlochbhuaile Theas,Cork,Republic of Ireland,Townland
13038,Cloghvoula,An Chlochbhuaile,Cork,Republic of Ireland,Townland
13039,Clogh West,An Chloch Thiar,Limerick,Republic of Ireland,Townland
13040,Clogorrow,An Chloch Gharbh,Kildare,Republic of Ireland,Townland
13041,Clogrenan,Cloch Ghrianáin,Carlow,Republic of Ireland,Townland
13042,Clogrenan,Cloch Ghrianáin,Laois,Republic of Ireland,Townland
13043,Clohamon,Cloch Ámainn,Wexford,Republic of Ireland,Town/Village
13044,Clohaskin,Glaise Easa Caoin,Tipperary,Republic of Ireland,Townland
13045,Clohass,Cloch Chasaigh,Wexford,Republic of Ireland,Townland
13046,Cloheden,,Wexford,Republic of Ireland,Townland
13047,Cloheen,An Cloichín,Cork,Republic of Ireland,Townland
13048,Cloheena,Cloch Eidhneach,Cork,Republic of Ireland,Townland
13049,Cloheenafishoge,Cloichín na Fuiseoige,Tipperary,Republic of Ireland,Townland
13050,Cloheen Strand Intake,Trá an Chloichín,Cork,Republic of Ireland,Townland
13051,Clohernagh,Clocharach,Tipperary,Republic of Ireland,Townland
13052,Clohernagh,Clocharnach,Wicklow,Republic of Ireland,Townland
13053,Clohoge,An Chlochóg,Kilkenny,Republic of Ireland,Townland
13054,Clohoge,An Chlochóg,Tipperary,Republic of Ireland,Townland
13055,Clologe,,Wexford,Republic of Ireland,Townland
13056,Clologe Little,,Wexford,Republic of Ireland,Townland
13057,Clologe Lower,,Wexford,Republic of Ireland,Townland
13058,Clologe Upper,,Wexford,Republic of Ireland,Townland
13059,Clolourish,,Wexford,Republic of Ireland,Townland
13060,Clomantagh,An Chloch Mhantach,Kilkenny,Republic of Ireland,Townland
13061,Clomantagh Lower,An Chloch Mhantach Íochtarach,Kilkenny,Republic of Ireland,Townland
13062,Clomantagh Upper,An Chloch Mhantach Uachtarach,Kilkenny,Republic of Ireland,Townland
13063,Clomoney,,Carlow,Republic of Ireland,Townland
13064,Clonaboy,,Westmeath,Republic of Ireland,Townland
13065,Clonabreany,,Meath,Republic of Ireland,Townland
13066,Clonacody,Cloch an Mhonacóidigh,Tipperary,Republic of Ireland,Townland
13067,Clonacullan,Cluain an Choilleáin,Monaghan,Republic of Ireland,Townland
13068,Clonacullion,Cluain an Chuilinn,Monaghan,Republic of Ireland,Townland
13069,Clonacur,,Carlow,Republic of Ireland,Townland
13070,Clonad,Cluain Fhada,Offaly,Republic of Ireland,Townland
13071,Clonad,Cluain Fhada,Offaly,Republic of Ireland,Townland
13072,Clonadacasey,,Laois,Republic of Ireland,Townland
13073,Clonaddadoran,Cluain Fhada Ó nDeoráin,Laois,Republic of Ireland,Townland
13074,Clonaderg,Cluain Deirg,Offaly,Republic of Ireland,Townland
13075,Clonagam,Cluain na gCam,Waterford,Republic of Ireland,Townland
13076,Clonagannagh,Cluain na gCeannach,Offaly,Republic of Ireland,Townland
13077,Clonagara,,Meath,Republic of Ireland,Townland
13078,Clonageera,Cluain na gCaorach,Laois,Republic of Ireland,Townland
13079,Clonagh,,Kildare,Republic of Ireland,Townland
13080,Clonagh,,Kildare,Republic of Ireland,Townland
13081,Clonagh,,Laois,Republic of Ireland,Townland
13082,Clonagh,,Laois,Republic of Ireland,Townland
13083,Clonagh,Cluain Each,Limerick,Republic of Ireland,Townland
13084,Clonagh,Cluanach,Offaly,Republic of Ireland,Townland
13085,Clonagh,,Westmeath,Republic of Ireland,Townland
13086,Clonaghadoo,Cluanacha Dubha,Laois,Republic of Ireland,Townland
13087,Clonagh East,Cluanach Thoir,Offaly,Republic of Ireland,Townland
13088,Clonaghlis,,Kildare,Republic of Ireland,Townland
13089,Clonagh West,Cluanach Thiar,Offaly,Republic of Ireland,Townland
13090,Clonaglin,,Westmeath,Republic of Ireland,Townland
13091,Clonagonnell,,Cavan,Republic of Ireland,Townland
13092,Clonagooden,,Laois,Republic of Ireland,Townland
13093,Clonagoose,Cluain Guas,Tipperary,Republic of Ireland,Townland
13094,Clonaheen,,Laois,Republic of Ireland,Townland
13095,Clonahenoge,Cluain Fheannóg,Offaly,Republic of Ireland,Townland
13096,Clonakenny,Cluain Uí Chionaoith,Tipperary,Republic of Ireland,Town/Village
13097,Clonakilty,Cloich na Coillte,Cork,Republic of Ireland,Town/Village
13098,Clonalea,Cluain Lao,Tipperary,Republic of Ireland,Townland
13099,Clonaleenaghan,Cluain an Líonáin,Louth,Republic of Ireland,Townland
13100,Clonalough,Cluain an Locha,Tipperary,Republic of Ireland,Townland
13101,Clonaltra,,Westmeath,Republic of Ireland,Townland
13102,Clonaltra West,,Westmeath,Republic of Ireland,Townland
13103,Clonalvy,Cluain Ailbhe,Meath,Republic of Ireland,Town/Village
13104,Clonamery,Cluain Iomaire,Kilkenny,Republic of Ireland,Townland
13105,Clonamicklon,Cluain Ó Míolchon,Tipperary,Republic of Ireland,Townland
13106,Clonamona Lower,,Wexford,Republic of Ireland,Townland
13107,Clonamona Upper,,Wexford,Republic of Ireland,Townland
13108,Clonamondra,Cluain na mBanrach,Tipperary,Republic of Ireland,Townland
13109,Clonamuckoge Beg,Cluain Mocóg Beag,Tipperary,Republic of Ireland,Townland
13110,Clonamuckoge More,Cluain Mocóg Mór,Tipperary,Republic of Ireland,Townland
13111,Clonamullig,Cluain na mBolg,Cavan,Republic of Ireland,Townland
13112,Clonamully,Cluain an Mhullaigh,Monaghan,Republic of Ireland,Townland
13113,Clonamunsha,Cluain an Minseach,Monaghan,Republic of Ireland,Townland
13114,Clonanagh,Cluain na nEach,Waterford,Republic of Ireland,Townland
13115,Clonanav,Cluain na nDamh,Waterford,Republic of Ireland,Townland
13116,Clonandra,Cluain Anraí,Cavan,Republic of Ireland,Townland
13117,Clonaneor,Cluain na nDeoraí,Monaghan,Republic of Ireland,Townland
13118,Clonanny,,Laois,Republic of Ireland,Townland
13119,Clonard,Cluain Ard nó Baile an Phúcaigh,Dublin,Republic of Ireland,Townland
13120,Clonard,Cluain Ard,Kilkenny,Republic of Ireland,Townland
13121,Clonard,,Laois,Republic of Ireland,Townland
13122,Clonard,Cluain Ioraird,Meath,Republic of Ireland,Town/Village
13123,Clonard East,Cluain Ard Thoir,Cork,Republic of Ireland,Townland
13124,Clonard Great,,Wexford,Republic of Ireland,Townland
13125,Clonard Little,,Wexford,Republic of Ireland,Townland
13126,Clonard New,,Kildare,Republic of Ireland,Townland
13127,Clonardran,Cluain Ard Rathain,Meath,Republic of Ireland,Townland
13128,Clonard West,Cluain Ard Thiar,Cork,Republic of Ireland,Townland
13129,Clonarney,,Cavan,Republic of Ireland,Townland
13130,Clonarney,Cluain Earna,Westmeath,Republic of Ireland,Townland
13131,Clonarrow,Cluain Arbhach,Offaly,Republic of Ireland,Townland
13132,Clonascra,Cluain Eascrach,Offaly,Republic of Ireland,Townland
13133,Clonasillagh,,Meath,Republic of Ireland,Townland
13134,Clonaslee,Cluain na Slí,Laois,Republic of Ireland,Town/Village
13135,Clonaspoe,Cluain Lis Bó,Tipperary,Republic of Ireland,Townland
13136,Clonassy,Cluain Easa,Kilkenny,Republic of Ireland,Townland
13137,Clonatin Lower,,Wexford,Republic of Ireland,Townland
13138,Clonatin Upper,,Wexford,Republic of Ireland,Townland
13139,Clonava,Cluain Ámha,Westmeath,Republic of Ireland,Townland
13140,Clonavarn,Cluain na bhFearna,Monaghan,Republic of Ireland,Townland
13141,Clonavilla,Cluain an Bhile,Monaghan,Republic of Ireland,Townland
13142,Clonavoe,Cluain Dá Bhó,Offaly,Republic of Ireland,Townland
13143,Clonavogy,Cluain an Bhogaigh,Monaghan,Republic of Ireland,Townland
13144,Clonavrick,Cluain Mhic Bhroic,Cork,Republic of Ireland,Townland
13145,Clonawoolan,,Laois,Republic of Ireland,Townland
13146,Clonbane,,Laois,Republic of Ireland,Townland
13147,Clonbara,Cluain Báire,Donegal,Republic of Ireland,Townland
13148,Clonbarrow,,Laois,Republic of Ireland,Townland
13149,Clonbartan,,Meath,Republic of Ireland,Townland
13150,Clonbeale Beg Glebe,Cluain Béala Beag,Offaly,Republic of Ireland,Townland
13151,Clonbeale More,Cluain Béala Mór,Offaly,Republic of Ireland,Townland
13152,Clonbealy,Cluain Béala,Tipperary,Republic of Ireland,Townland
13153,Clonbeg,Cluain Beag,Offaly,Republic of Ireland,Townland
13154,Clon Beg,Cluain Beag,Tipperary,Republic of Ireland,Townland
13155,Clonbeg Glebe,,Donegal,Republic of Ireland,Townland
13156,Clonbern,Cluain Bheirn,Galway,Republic of Ireland,Town/Village
13157,Clonbockoge,,Cavan,Republic of Ireland,Townland
13158,Clonbonane,Cluain Buinneáin,Tipperary,Republic of Ireland,Townland
13159,Clonbonniff,Cluain Banbh,Offaly,Republic of Ireland,Townland
13160,Clonbore,,Westmeath,Republic of Ireland,Townland
13161,Clonbouig,Cluain Buaigh,Cork,Republic of Ireland,Townland
13162,Clonboy,Cluain Buí,Clare,Republic of Ireland,Townland
13163,Clonboy,Cluain Buí,Monaghan,Republic of Ireland,Townland
13164,Clonboy,,Westmeath,Republic of Ireland,Townland
13165,Clonboyne,,Laois,Republic of Ireland,Townland
13166,Clonbrassil,Cluain Breasail,Tipperary,Republic of Ireland,Townland
13167,Clonbrennan,Cluain Bréanainn,Offaly,Republic of Ireland,Townland
13168,Clonbrick,Cluain Broic,Clare,Republic of Ireland,Townland
13169,Clonbrick,Cluain Bric,Tipperary,Republic of Ireland,Townland
13170,Clonbrin,Cluain Brain,Offaly,Republic of Ireland,Townland
13171,Clonbrock,Cluain Broc,Galway,Republic of Ireland,Townland
13172,Clonbrock,Cluain Broc,Laois,Republic of Ireland,Townland
13173,Clonbrock Demesne,Diméin Chluain Broc,Galway,Republic of Ireland,Townland
13174,Clonbrock Lower,Cluain Broc Íochtarach,Offaly,Republic of Ireland,Townland
13175,Clonbrock Upper,Cluain Broc Uachtarach,Offaly,Republic of Ireland,Townland
13176,Clonbrogan,Cluain Brógáin,Tipperary,Republic of Ireland,Townland
13177,Clonbrone,Cluain Brónaigh,Offaly,Republic of Ireland,Townland
13178,Clonbroney,Cluain Brónaigh,Longford,Republic of Ireland,Townland
13179,Clonbrown,Cluain Brón,Offaly,Republic of Ireland,Townland
13180,Clonbrusk,Cluain Bhorraisc,Westmeath,Republic of Ireland,Townland
13181,Clonbulloge,,Carlow,Republic of Ireland,Townland
13182,Clonbulloge,Cluain Bolg,Offaly,Republic of Ireland,Town/Village
13183,Clonbunny,Cluain Buinne,Tipperary,Republic of Ireland,Townland
13184,Clonbuogh,Cluain Buach,Tipperary,Republic of Ireland,Townland
13185,Clonbur,An Fhairche,Galway,Republic of Ireland,Town/Village
13186,Clonburren,,Laois,Republic of Ireland,Townland
13187,Clonburris Great,Cluain Buiríosa Mór,Dublin,Republic of Ireland,Townland
13188,Clonburris Little,Cluain Buiríosa Beag,Dublin,Republic of Ireland,Townland
13189,Clonca,Cluain Catha,Donegal,Republic of Ireland,Townland
13190,Clonca,Cluain Catha,Longford,Republic of Ireland,Townland
13191,Cloncagh,Cluain Cath,Limerick,Republic of Ireland,Townland
13192,Cloncallick,Cluain Calga,Monaghan,Republic of Ireland,Townland
13193,Cloncannon,Cluain Canann,Tipperary,Republic of Ireland,Townland
13194,Cloncanon,Cluain Canann,Offaly,Republic of Ireland,Townland
13195,Cloncanon Lower,,Laois,Republic of Ireland,Townland
13196,Cloncanon Upper,,Laois,Republic of Ireland,Townland
13197,Cloncant,Cluain Ciontach,Offaly,Republic of Ireland,Townland
13198,Cloncarban,Cluain Corbáin,Offaly,Republic of Ireland,Townland
13199,Cloncarneel,,Meath,Republic of Ireland,Townland
13200,Cloncarney,,Donegal,Republic of Ireland,Townland
13201,Cloncassan,Cluain Caisín,Offaly,Republic of Ireland,Townland
13202,Cloncat,Cluain Chat,Meath,Republic of Ireland,Townland
13203,Cloncaw,Cluain Catha,Monaghan,Republic of Ireland,Townland
13204,Clonclayagh,An Chluain Chlaíoch,Donegal,Republic of Ireland,Townland
13205,Clonclud,Cluain Clod,Cork,Republic of Ireland,Townland
13206,Clonco,Cluain Có,Galway,Republic of Ireland,Townland
13207,Cloncoher,Cluain Chathaoir,Offaly,Republic of Ireland,Townland
13208,Cloncollog,Cluain Calga,Offaly,Republic of Ireland,Townland
13209,Cloncollow,,Cavan,Republic of Ireland,Townland
13210,Cloncon,Cluain Con,Offaly,Republic of Ireland,Townland
13211,Clonconane,Cluain Canáin,Limerick,Republic of Ireland,Townland
13212,Clonconey,Cluain Connaidh,Kilkenny,Republic of Ireland,Townland
13213,Clonconnell,,Westmeath,Republic of Ireland,Townland
13214,Clonconor Glebe,,Cavan,Republic of Ireland,Townland
13215,Clonconwal,Cluain Conbhála,Donegal,Republic of Ireland,Townland
13216,Cloncorig,Cluain Comhraic,Tipperary,Republic of Ireland,Townland
13217,Cloncose,,Cavan,Republic of Ireland,Townland
13218,Cloncose,,Cavan,Republic of Ireland,Townland
13219,Cloncoskoran,Cluain Choscráin,Waterford,Republic of Ireland,Townland
13220,Cloncosney,,Laois,Republic of Ireland,Townland
13221,Cloncough,,Laois,Republic of Ireland,Townland
13222,Cloncourse,Cluain Cuais,Laois,Republic of Ireland,Townland
13223,Cloncouse,Cluain Cuas,Cork,Republic of Ireland,Townland
13224,Cloncovet,,Cavan,Republic of Ireland,Townland
13225,Cloncowan,,Meath,Republic of Ireland,Townland
13226,Cloncowley,Cluain Cabhlaigh,Longford,Republic of Ireland,Townland
13227,Cloncracken,Cluain Craicinn,Tipperary,Republic of Ireland,Townland
13228,Cloncraff,Cluain Cabha,Offaly,Republic of Ireland,Townland
13229,Cloncrave,,Westmeath,Republic of Ireland,Townland
13230,Cloncreen,Cluain Críon,Offaly,Republic of Ireland,Townland
13231,Cloncrew,Cluain Creamha,Limerick,Republic of Ireland,Townland
13232,Cloncrow,Cluain Cró,Westmeath,Republic of Ireland,Townland
13233,Cloncullane,,Laois,Republic of Ireland,Townland
13234,Cloncullen,,Laois,Republic of Ireland,Townland
13235,Cloncullen,,Meath,Republic of Ireland,Townland
13236,Cloncullen,,Westmeath,Republic of Ireland,Townland
13237,Cloncullen,,Westmeath,Republic of Ireland,Townland
13238,Cloncully,,Laois,Republic of Ireland,Townland
13239,Cloncumber,,Kildare,Republic of Ireland,Townland
13240,Cloncumber,Cluain Comair,Monaghan,Republic of Ireland,Townland
13241,Cloncurkney,,Cavan,Republic of Ireland,Townland
13242,Cloncurrin,Cluain Coirrín,Monaghan,Republic of Ireland,Townland
13243,Cloncurry,,Kildare,Republic of Ireland,Town/Village
13244,Cloncurry,Cluain Curraigh,Tipperary,Republic of Ireland,Townland
13245,Clondalee Beg,,Meath,Republic of Ireland,Townland
13246,Clondalee More,,Meath,Republic of Ireland,Townland
13247,Clondalever,,Westmeath,Republic of Ireland,Townland
13248,Clondalkin,Cluain Dolcáin,Dublin,Republic of Ireland,Town/Village
13249,Clondallan,Cluain Dalláin,Donegal,Republic of Ireland,Townland
13250,Clondallow,Cluain Dala,Offaly,Republic of Ireland,Townland
13251,Clondardis,,Westmeath,Republic of Ireland,Townland
13252,Clondargan,,Cavan,Republic of Ireland,Townland
13253,Clondargan Glebe,,Cavan,Republic of Ireland,Townland
13254,Clondarragh,,Wexford,Republic of Ireland,Townland
13255,Clondarrig,Cluain Dearg,Laois,Republic of Ireland,Townland
13256,Clondavaddog,Cluain Dabhaodóg,Donegal,Republic of Ireland,Townland
13257,Clondavan,,Meath,Republic of Ireland,Townland
13258,Clondaw,,Wexford,Republic of Ireland,Townland
13259,Clondelara,Cluain Dá Lára,Offaly,Republic of Ireland,Townland
13260,Clonderalaw,Cluain idir Dhá Lá,Clare,Republic of Ireland,Townland
13261,Clondinnery,Cluain Dineara,Monaghan,Republic of Ireland,Townland
13262,Clondonnell,Cluain Dónaill,Waterford,Republic of Ireland,Townland
13263,Clondonnell Glebe,Cluain Dónaill,Offaly,Republic of Ireland,Townland
13264,Clondoogan,,Meath,Republic of Ireland,Townland
13265,Clondoolagh,,Laois,Republic of Ireland,Townland
13266,Clondoolusk,Cluain Dúloiscthe,Offaly,Republic of Ireland,Townland
13267,Clondoty,Cluain Dóite,Tipperary,Republic of Ireland,Townland
13268,Clondouglas,Cluain Dúghlaise,Kerry,Republic of Ireland,Townland
13269,Clondouglas,,Laois,Republic of Ireland,Townland
13270,Clondown,,Kildare,Republic of Ireland,Townland
13271,Clondrinagh,Cluain Draighneach,Limerick,Republic of Ireland,Townland
13272,Clondrohid,Cluain Droichead,Cork,Republic of Ireland,Town/Village
13273,Clonduff,,Kildare,Republic of Ireland,Townland
13274,Clonduff,,Laois,Republic of Ireland,Townland
13275,Clondulane,Cluain Dalláin,Cork,Republic of Ireland,Town/Village
13276,Clondulane North,Cluain Dalláin Thuaidh,Cork,Republic of Ireland,Townland
13277,Clondulane South,Cluain Dalláin Theas,Cork,Republic of Ireland,Townland
13278,Clone,Cluain,Kilkenny,Republic of Ireland,Townland
13279,Clone,Cluain,Tipperary,Republic of Ireland,Townland
13280,Clone,,Wexford,Republic of Ireland,Townland
13281,Clone,,Wicklow,Republic of Ireland,Townland
13282,Clonea,Cluain Fhia,Waterford,Republic of Ireland,Town/Village
13283,Clonea Lower,Cluain Aodha Íochtarach,Waterford,Republic of Ireland,Townland
13284,Clonea Middle,Cluain Aodha Meánach,Waterford,Republic of Ireland,Townland
13285,Clonearl,Cluain Oirill,Offaly,Republic of Ireland,Townland
13286,Clonearl Demesne,Diméin Chluain Oirill,Offaly,Republic of Ireland,Townland
13287,Cloneary,,Cavan,Republic of Ireland,Townland
13288,Clonea Upper,Cluain Aodha Uachtarach,Waterford,Republic of Ireland,Townland
13289,Clonedarby,Cluain Diarmada,Tipperary,Republic of Ireland,Townland
13290,Clonedergole,Cluain Eadargóil,Monaghan,Republic of Ireland,Townland
13291,Clonee,Cluain Aodha,Meath,Republic of Ireland,Town/Village
13292,Clone East,Cluain Uí Mhurchú Thoir,Wexford,Republic of Ireland,Townland
13293,Cloneeb,,Laois,Republic of Ireland,Townland
13294,Clonee East,,Carlow,Republic of Ireland,Townland
13295,Clonee Lower,,Wexford,Republic of Ireland,Townland
13296,Cloneen,,Carlow,Republic of Ireland,Townland
13297,Cloneen,An Cluainín,Cork,Republic of Ireland,Townland
13298,Cloneen,An Cluainín,Kilkenny,Republic of Ireland,Townland
13299,Cloneen,An Cluainín,Offaly,Republic of Ireland,Townland
13300,Cloneen,An Cluainín,Tipperary,Republic of Ireland,Town/Village
13301,Cloneen,,Wicklow,Republic of Ireland,Townland
13302,Cloneens,,Meath,Republic of Ireland,Townland
13303,Cloneety,Cluain an Fhaoitigh,Waterford,Republic of Ireland,Townland
13304,Clonee Upper,,Wexford,Republic of Ireland,Townland
13305,Clonee West,,Carlow,Republic of Ireland,Townland
13306,Clonegah,,Carlow,Republic of Ireland,Townland
13307,Clonegall,Cluain na nGall,Carlow,Republic of Ireland,Town/Village
13308,Clonegath,,Kildare,Republic of Ireland,Townland
13309,Clonehurk,,Laois,Republic of Ireland,Townland
13310,Clonely,Cluain Éilí,Tipperary,Republic of Ireland,Townland
13311,Clonenagh,Cluain Eidhneach,Laois,Republic of Ireland,Townland
13312,Cloneranny,,Wexford,Republic of Ireland,Townland
13313,Clonerkin,,Wicklow,Republic of Ireland,Townland
13314,Clonervy,Cluain Oirbhe,Cavan,Republic of Ireland,Townland
13315,Clones,Cluain Eois,Monaghan,Republic of Ireland,Town/Village
13316,Cloneska,Cluain Eascann,Tipperary,Republic of Ireland,Townland
13317,Clones Lower,,Wexford,Republic of Ireland,Townland
13318,Clones Middle,,Wexford,Republic of Ireland,Townland
13319,Clones Upper,,Wexford,Republic of Ireland,Townland
13320,Clonetoose,,Carlow,Republic of Ireland,Townland
13321,Clonever,Cluain Íomhair,Offaly,Republic of Ireland,Townland
13322,Cloneveran,,Meath,Republic of Ireland,Townland
13323,Clonevin,Cluain Aoibhinn,Wexford,Republic of Ireland,Townland
13324,Clone West,Cluain Uí Mhurchú Thiar,Wexford,Republic of Ireland,Townland
13325,Cloney,Cluaine,Kildare,Republic of Ireland,Townland
13326,Cloney,,Meath,Republic of Ireland,Townland
13327,Cloneybeg,,Kildare,Republic of Ireland,Townland
13328,Cloneybrien,Cluain Uí Bhriain,Tipperary,Republic of Ireland,Townland
13329,Cloneygowny,Cluain na nGaibhne,Tipperary,Republic of Ireland,Townland
13330,Clonfad,,Laois,Republic of Ireland,Townland
13331,Clonfad,Cluain Fada,Monaghan,Republic of Ireland,Townland
13332,Clonfad,Cluain Fada,Monaghan,Republic of Ireland,Townland
13333,Clonfad,,Westmeath,Republic of Ireland,Townland
13334,Clonfadda,Cluain Fada,Cork,Republic of Ireland,Townland
13335,Clonfadda,Cluain Fada,Waterford,Republic of Ireland,Townland
13336,Clonfane,,Meath,Republic of Ireland,Townland
13337,Clonfert,Cluain Fearta,Cork,Republic of Ireland,Townland
13338,Clonfert,Cluain Fearta,Galway,Republic of Ireland,Town/Village
13339,Clonfert Demesne,Cluain Fearta,Galway,Republic of Ireland,Townland
13340,Clonfert Demesne Bog,Móin Chluain Fearta,Galway,Republic of Ireland,Townland
13341,Clonfert North,Cluain Fearta Thuaidh,Galway,Republic of Ireland,Townland
13342,Clonfert North,,Kildare,Republic of Ireland,Townland
