Issue Time,Valid From,Valid To,Warning Colour,Warning Element,Warning Text,Clare,Cork,Kerry,Limerick,Tipperary,Waterford,Carlow,Dublin,Kildare,Kilkenny,Laois,Longford,Louth,Meath,Offaly,Westmeath,Wexford,Wicklow,Cavan,Donegal,Monaghan,Galway,Leitrim,Mayo,Roscommon,Sligo,warning_phenomenon,warning_severity,weather_type,Duration_hours,date,region,counties_in_region,weather_event_density,county_weight,affected_counties_count,affected_counties_proportion
2024-10-19 17:20:00+00:00,2024-10-20 12:00:00+00:00,2024-10-20 20:00:00+00:00,Orange,Wind,"Storm Ashley will bring very strong to gale force and gusty south to southwest winds, coupled with high spring tides.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wind,Orange,Wind warning,8.0,2024-10-20,HSE South West,2,1,0.5,0,0.0
2024-09-29 17:44:00+00:00,2024-09-29 17:44:00+00:00,2024-09-30 00:00:00+00:00,Orange,Rainfall,Heavy rain with some intense downpours.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainfall,Orange,Rainfall warning,6.266666666666667,2024-09-29,HSE Dublin and South East,7,1,0.14285714285714285,0,0.0
2024-09-29 17:44:00+00:00,2024-09-29 17:44:00+00:00,2024-09-30 00:00:00+00:00,Orange,Rainfall,Heavy rain with some intense downpours.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainfall,Orange,Rainfall warning,6.266666666666667,2024-09-29,HSE Dublin and Midlands,7,1,0.14285714285714285,0,0.0
2024-11-20 10:33:00+00:00,2024-11-21 00:00:00+00:00,2024-11-21 12:00:00+00:00,Orange,Snow/Ice,Heavy rain transitioning to sleet and snow.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Snow_Ice,Orange,Snow_Ice warning,12.0,2024-11-21,HSE South West,2,1,0.5,0,0.0
2024-11-20 10:33:00+00:00,2024-11-21 00:00:00+00:00,2024-11-21 12:00:00+00:00,Orange,Snow/Ice,Heavy rain transitioning to sleet and snow.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Snow_Ice,Orange,Snow_Ice warning,12.0,2024-11-21,HSE West and North West,6,1,0.16666666666666666,0,0.0
2024-03-12 10:49:00+00:00,2024-03-13 12:00:00+00:00,2024-03-14 12:00:00+00:00,Orange,Rainfall,"Persistent rain, heavy at times, accompanied by strong onshore winds, high tides, and elevated river levels.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainfall,Orange,Rainfall warning,24.0,2024-03-13,HSE South West,2,1,0.5,0,0.0
2024-03-12 10:49:00+00:00,2024-03-13 12:00:00+00:00,2024-03-14 12:00:00+00:00,Orange,Rainfall,"Persistent rain, heavy at times, accompanied by strong onshore winds, high tides, and elevated river levels.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainfall,Orange,Rainfall warning,24.0,2024-03-13,HSE Mid West,3,1,0.3333333333333333,0,0.0
2024-05-20 13:14:00+00:00,2024-05-20 15:00:00+00:00,2024-05-20 21:00:00+00:00,Orange,Thunderstorm,Slow moving thunderstorms with very heavy downpours and potentially large hail.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder,Orange,Thunder warning,6.0,2024-05-20,HSE West and North West,6,1,0.16666666666666666,0,0.0
2024-05-20 13:14:00+00:00,2024-05-20 15:00:00+00:00,2024-05-20 21:00:00+00:00,Orange,Thunderstorm,Slow moving thunderstorms with very heavy downpours and potentially large hail.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder,Orange,Thunder warning,6.0,2024-05-20,HSE South West,2,1,0.5,0,0.0
2024-05-20 13:14:00+00:00,2024-05-20 15:00:00+00:00,2024-05-20 21:00:00+00:00,Orange,Thunderstorm,Slow moving thunderstorms with very heavy downpours and potentially large hail.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder,Orange,Thunder warning,6.0,2024-05-20,HSE Mid West,3,1,0.3333333333333333,0,0.0
2024-05-20 13:14:00+00:00,2024-05-20 15:00:00+00:00,2024-05-20 21:00:00+00:00,Orange,Thunderstorm,Slow moving thunderstorms with very heavy downpours and potentially large hail.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder,Orange,Thunder warning,6.0,2024-05-20,HSE Dublin and South East,7,1,0.14285714285714285,0,0.0
2024-05-20 13:14:00+00:00,2024-05-20 15:00:00+00:00,2024-05-20 21:00:00+00:00,Orange,Thunderstorm,Slow moving thunderstorms with very heavy downpours and potentially large hail.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder,Orange,Thunder warning,6.0,2024-05-20,HSE Dublin and Midlands,7,1,0.14285714285714285,0,0.0
2024-05-20 13:14:00+00:00,2024-05-20 15:00:00+00:00,2024-05-20 21:00:00+00:00,Orange,Thunderstorm,Slow moving thunderstorms with very heavy downpours and potentially large hail.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thunder,Orange,Thunder warning,6.0,2024-05-20,HSE Dublin and North East,5,1,0.2,0,0.0
2024-03-12 10:49:00+00:00,2024-03-13 12:00:00+00:00,2024-03-14 12:00:00+00:00,Orange,Rainfall,"Persistent rain, heavy at times, accompanied by strong onshore winds, high tides, and elevated river levels.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainfall,Orange,Rainfall warning,24.0,2024-03-13,HSE Dublin and South East,7,1,0.14285714285714285,0,0.0
2024-03-12 10:49:00+00:00,2024-03-13 12:00:00+00:00,2024-03-14 12:00:00+00:00,Orange,Rainfall,"Persistent rain, heavy at times, accompanied by strong onshore winds, high tides, and elevated river levels.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainfall,Orange,Rainfall warning,24.0,2024-03-13,HSE Dublin and Midlands,7,1,0.14285714285714285,0,0.0
